 Teff =  2300.00  logg =  4.50  mixLengthPara =  2.00  Abschluss =  8  beta =  2.20  pconv[bar] =  0.29
           6           7
 
           p         pel           T          a1          a2          N1          N2
  3.6806E-06  8.3114E-17  1.0364E+03  1.1080E-06  4.5210E-07  2.5809E-09  1.4476E-09
  3.8160E-06  8.5531E-17  1.0368E+03  1.1432E-06  4.6176E-07  2.9802E-09  1.6534E-09
  3.9542E-06  8.8029E-17  1.0372E+03  1.1783E-06  4.7149E-07  3.4344E-09  1.8851E-09
  4.0975E-06  9.0598E-17  1.0377E+03  1.2134E-06  4.8108E-07  3.9547E-09  2.1473E-09
  4.2459E-06  9.3242E-17  1.0381E+03  1.2484E-06  4.9051E-07  4.5523E-09  2.4437E-09
  4.3997E-06  9.5962E-17  1.0386E+03  1.2833E-06  4.9977E-07  5.2397E-09  2.7787E-09
  4.5591E-06  9.8761E-17  1.0390E+03  1.3179E-06  5.0887E-07  6.0313E-09  3.1572E-09
  4.7243E-06  1.0164E-16  1.0394E+03  1.3524E-06  5.1781E-07  6.9438E-09  3.5851E-09
  4.8955E-06  1.0460E-16  1.0399E+03  1.3865E-06  5.2661E-07  7.9962E-09  4.0689E-09
  5.0728E-06  1.0765E-16  1.0403E+03  1.4203E-06  5.3524E-07  9.2107E-09  4.6162E-09
  5.2566E-06  1.1079E-16  1.0408E+03  1.4536E-06  5.4372E-07  1.0613E-08  5.2358E-09
  5.4383E-06  1.1395E-16  1.0412E+03  1.4865E-06  5.5205E-07  1.2210E-08  5.9273E-09
  5.6021E-06  1.1706E-16  1.0417E+03  1.5186E-06  5.6036E-07  1.3961E-08  6.6727E-09
  5.7707E-06  1.2024E-16  1.0422E+03  1.5498E-06  5.6843E-07  1.5934E-08  7.5021E-09
  5.9445E-06  1.2351E-16  1.0427E+03  1.5800E-06  5.7617E-07  1.8161E-08  8.4252E-09
  6.1235E-06  1.2687E-16  1.0432E+03  1.6094E-06  5.8356E-07  2.0677E-08  9.4526E-09
  6.3079E-06  1.3031E-16  1.0437E+03  1.6379E-06  5.9061E-07  2.3523E-08  1.0596E-08
  6.4978E-06  1.3385E-16  1.0442E+03  1.6655E-06  5.9739E-07  2.6742E-08  1.1868E-08
  6.6935E-06  1.3749E-16  1.0446E+03  1.6924E-06  6.0388E-07  3.0383E-08  1.3285E-08
  6.8950E-06  1.4122E-16  1.0451E+03  1.7185E-06  6.1016E-07  3.4502E-08  1.4862E-08
  7.1027E-06  1.4505E-16  1.0456E+03  1.7438E-06  6.1620E-07  3.9162E-08  1.6619E-08
  7.3165E-06  1.4898E-16  1.0461E+03  1.7684E-06  6.2204E-07  4.4433E-08  1.8577E-08
  7.5368E-06  1.5302E-16  1.0466E+03  1.7922E-06  6.2767E-07  5.0395E-08  2.0760E-08
  7.7543E-06  1.5704E-16  1.0471E+03  1.8154E-06  6.3312E-07  5.7067E-08  2.3167E-08
  7.9296E-06  1.6053E-16  1.0475E+03  1.8375E-06  6.3852E-07  6.4092E-08  2.5660E-08
  8.1090E-06  1.6411E-16  1.0480E+03  1.8586E-06  6.4371E-07  7.1801E-08  2.8376E-08
  8.2924E-06  1.6776E-16  1.0484E+03  1.8787E-06  6.4863E-07  8.0272E-08  3.1334E-08
  8.4799E-06  1.7148E-16  1.0489E+03  1.8980E-06  6.5326E-07  8.9585E-08  3.4557E-08
  8.6717E-06  1.7530E-16  1.0493E+03  1.9164E-06  6.5762E-07  9.9827E-08  3.8067E-08
  8.8678E-06  1.7919E-16  1.0498E+03  1.9340E-06  6.6176E-07  1.1109E-07  4.1891E-08
  9.0684E-06  1.8317E-16  1.0502E+03  1.9509E-06  6.6568E-07  1.2348E-07  4.6057E-08
  9.2734E-06  1.8723E-16  1.0506E+03  1.9671E-06  6.6941E-07  1.3710E-07  5.0595E-08
  9.4832E-06  1.9139E-16  1.0511E+03  1.9827E-06  6.7297E-07  1.5208E-07  5.5540E-08
  9.6976E-06  1.9563E-16  1.0515E+03  1.9977E-06  6.7637E-07  1.6854E-07  6.0928E-08
  9.9170E-06  1.9997E-16  1.0520E+03  2.0122E-06  6.7960E-07  1.8666E-07  6.6800E-08
  1.0141E-05  2.0440E-16  1.0524E+03  2.0261E-06  6.8269E-07  2.0657E-07  7.3200E-08
  1.0371E-05  2.0893E-16  1.0529E+03  2.0395E-06  6.8566E-07  2.2846E-07  8.0176E-08
  1.0605E-05  2.1356E-16  1.0533E+03  2.0525E-06  6.8853E-07  2.5252E-07  8.7783E-08
  1.0845E-05  2.1828E-16  1.0538E+03  2.0649E-06  6.9130E-07  2.7895E-07  9.6079E-08
  1.1003E-05  2.2157E-16  1.0541E+03  2.0769E-06  6.9401E-07  3.0533E-07  1.0424E-07
  1.1141E-05  2.2452E-16  1.0544E+03  2.0881E-06  6.9667E-07  3.3260E-07  1.1263E-07
  1.1281E-05  2.2751E-16  1.0547E+03  2.0987E-06  6.9921E-07  3.6138E-07  1.2146E-07
  1.1423E-05  2.3054E-16  1.0550E+03  2.1087E-06  7.0161E-07  3.9179E-07  1.3076E-07
  1.1566E-05  2.3361E-16  1.0553E+03  2.1182E-06  7.0385E-07  4.2393E-07  1.4054E-07
  1.1712E-05  2.3672E-16  1.0556E+03  2.1272E-06  7.0596E-07  4.5789E-07  1.5085E-07
  1.1859E-05  2.3987E-16  1.0558E+03  2.1358E-06  7.0794E-07  4.9378E-07  1.6170E-07
  1.2008E-05  2.4306E-16  1.0561E+03  2.1439E-06  7.0981E-07  5.3171E-07  1.7312E-07
