#           wl        cont         all         h2o      planck
    14.9792172  1.3134E+05  1.0393E+05  1.0399E+05  1.2800E+05
    14.9567658  1.3209E+05  1.0188E+05  1.0198E+05  1.2874E+05
    14.9343481  1.3286E+05  1.0571E+05  1.0581E+05  1.2948E+05
    14.9119639  1.3363E+05  1.0115E+05  1.0123E+05  1.3023E+05
    14.8896133  1.3440E+05  1.0327E+05  1.0395E+05  1.3098E+05
    14.8672961  1.3518E+05  1.0308E+05  1.0315E+05  1.3173E+05
    14.8450125  1.3596E+05  1.0728E+05  1.0733E+05  1.3249E+05
    14.8227622  1.3674E+05  1.0552E+05  1.0557E+05  1.3325E+05
    14.8005453  1.3753E+05  1.0510E+05  1.0515E+05  1.3402E+05
    14.7783617  1.3833E+05  1.0694E+05  1.0698E+05  1.3479E+05
    14.7562113  1.3913E+05  1.0330E+05  1.0355E+05  1.3556E+05
    14.7340941  1.3993E+05  1.1088E+05  1.1109E+05  1.3634E+05
    14.7120101  1.4074E+05  1.1286E+05  1.1337E+05  1.3712E+05
    14.6899592  1.4155E+05  1.1248E+05  1.1255E+05  1.3791E+05
    14.6679413  1.4237E+05  1.0807E+05  1.0924E+05  1.3871E+05
